Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
2400,96,3,1,2,1300,817,Méier,Rio de Janeiro,norte
2300,80,3,0,1,250,126,Tijuca,Rio de Janeiro,norte
4100,147,3,2,4,1680,443,Tijuca,Rio de Janeiro,norte
1000,56,2,1,2,330,0,Campo Grande,Rio de Janeiro,oeste
2900,75,3,1,2,890,180,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1080,54,1,0,2,650,50,Méier,Rio de Janeiro,norte
1000,80,2,2,2,350,1,Jardim América,Rio de Janeiro,norte
850,70,2,0,1,400,0,Taquara,Rio de Janeiro,oeste
1300,57,2,1,2,950,55,Rio Comprido,Rio de Janeiro,centro
1100,76,2,1,1,750,45,Méier,Rio de Janeiro,norte
900,39,2,1,1,0,0,Colégio,Rio de Janeiro,norte
1800,84,2,1,1,862,69,Cachambi,Rio de Janeiro,norte
780,58,1,0,1,0,77,Piedade,Rio de Janeiro,norte
6000,126,3,1,1,1876,394,Lagoa,Rio de Janeiro,sul
8000,410,3,4,2,600,334,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
935,90,2,0,2,570,67,Méier,Rio de Janeiro,norte
1200,90,2,1,1,430,90,Ilha do Governador,Rio de Janeiro,norte
1000,75,2,0,1,150,0,Ramos,Rio de Janeiro,norte
2800,76,2,0,2,760,189,Flamengo,Rio de Janeiro,sul
8500,65,1,1,1,1500,380,Barra da Tijuca,Rio de Janeiro,oeste
2200,105,2,1,2,1600,347,Humaitá,Rio de Janeiro,sul
2000,44,1,0,1,570,92,Flamengo,Rio de Janeiro,sul
2000,80,2,0,2,400,30,Irajá,Rio de Janeiro,norte
3800,92,2,1,2,1105,284,Flamengo,Rio de Janeiro,sul
1000,75,2,0,1,150,0,Ramos,Rio de Janeiro,norte
2300,54,1,0,1,738,184,Copacabana,Rio de Janeiro,sul
2800,76,2,0,2,760,189,Flamengo,Rio de Janeiro,sul
1000,26,1,0,1,615,0,Botafogo,Rio de Janeiro,sul
8500,65,1,1,1,1500,380,Barra da Tijuca,Rio de Janeiro,oeste
2000,44,1,0,1,570,92,Flamengo,Rio de Janeiro,sul
2000,80,2,0,2,400,30,Irajá,Rio de Janeiro,norte
1000,52,2,0,1,0,0,Benfica,Rio de Janeiro,centro
850,30,1,0,1,150,0,Vila da Penha,Rio de Janeiro,norte
690,42,1,0,1,446,0,Engenho Novo,Rio de Janeiro,norte
850,54,2,1,1,0,0,Guadalupe,Rio de Janeiro,norte
3400,82,1,1,1,1578,447,Copacabana,Rio de Janeiro,sul
6280,224,4,1,3,2553,506,Botafogo,Rio de Janeiro,sul
3500,122,3,2,4,1539,1747,Tijuca,Rio de Janeiro,norte
1700,80,2,1,1,290,55,Vila da Penha,Rio de Janeiro,norte
927,61,2,1,1,506,0,Campinho,Rio de Janeiro,norte
800,65,2,1,2,810,590,Rocha,Rio de Janeiro,norte
2200,84,3,0,2,1104,190,Flamengo,Rio de Janeiro,sul
1000,67,2,1,1,273,33,Realengo,Rio de Janeiro,oeste
2200,69,2,1,2,820,94,Recreio Dos Bandeirantes, Rio de Janeiro,oeste
2300,55,2,1,2,492,110,Pechincha,Rio de Janeiro,oeste
1600,68,2,0,1,350,43,Méier,Rio de Janeiro,norte
1200,50,2,0,2,500,0,Campo Grande,Rio de Janeiro,oeste
1500,65,2,1,2,0,28,Taquara,Rio de Janeiro,oeste
1700,22,1,0,1,415,29,Copacabana,Rio de Janeiro,sul
8000,150,3,1,2,1990,800,Ipanema,Rio de Janeiro,sul
5400,60,1,1,1,2100,290,Leblon,Rio de Janeiro,sul
1000,50,2,1,2,472,43,Campo Grande, Rio de Janeiro,oeste
900,30,1,0,1,0,0,Cascadura,Rio de Janeiro,norte
2500,70,2,1,1,200,58,São Francisco Xavier,Rio de Janeiro,norte
1100,52,2,1,1,347,0,Taquara,Rio de Janeiro,oeste
500,31,1,0,1,0,0,Turiaçu,Rio de Janeiro,norte
6000,160,3,0,1,350,0,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
2200,48,1,0,1,711,125,Botafogo,Rio de Janeiro,sul
2100,90,3,1,2,400,100,Irajá,Rio de Janeiro,norte
5429,165,3,1,3,2000,582,Lagoa,Rio de Janeiro,sul
800,45,1,0,1,0,0,Tanque,Rio de Janeiro,oeste
1000,50,2,1,1,470,0,Engenho De Dentro,Rio de Janeiro,norte
1150,80,2,0,1,150,13,Oswaldo Cruz,Rio de Janeiro,norte
5000,45,1,0,1,390,30,Catete,Rio de Janeiro,sul
1400,47,2,1,1,494,0,Irajá,Rio de Janeiro,norte
1800,61,2,1,2,676,0,Vargem Grande,Rio de Janeiro,oeste
8600,130,3,2,3,2700,600,Leblon,Rio de Janeiro,sul
1300,54,1,0,1,650,592,Méier,Rio de Janeiro,norte
3600,90,3,1,3,1890,293,Humaitá,Rio de Janeiro,sul
4800,130,3,1,2,1150,490,Copacabana,Rio de Janeiro,sul
1400,50,1,0,1,400,0,Grajaú,Rio de Janeiro,norte
1500,104,3,1,2,370,114,Grajaú,Rio de Janeiro,norte
2500,90,3,1,2,750,120,Tijuca,Rio de Janeiro,norte
800,80,2,1,1,0,0,Sepetiba,Rio de Janeiro,oeste
990,20,0,0,1,460,0,Catete,Rio de Janeiro,sul
3350,260,3,2,3,0,70,Penha,Rio de Janeiro,norte
880,50,2,0,1,477,0,Engenho Novo,Rio de Janeiro,norte
1300,54,2,1,1,462,42,Vargem Pequena,Rio de Janeiro,oeste
2770,100,3,0,2,0,0,Penha,Rio de Janeiro,norte
4200,110,2,2,2,1150,300,São Conrado,Rio de Janeiro,sul
2600,142,4,2,3,1872,291,Maracanã,Rio de Janeiro,norte
700,91,3,1,1,1266,180,Méier,Rio de Janeiro,norte
750,36,2,1,1,300,0,Campo Grande,Rio de Janeiro,oeste
1300,70,2,1,2,780,292,Praça Seca,Rio de Janeiro,oeste
1200,20,1,0,1,400,100,Copacabana,Rio de Janeiro,sul
1000,41,1,0,1,635,0,Méier,Rio de Janeiro,norte
2350,100,3,1,2,1319,268,Botafogo,Rio de Janeiro,sul
700,50,1,0,1,0,0,Taquara,Rio de Janeiro,oeste
1600,100,3,1,1,650,180,Tijuca,Rio de Janeiro,norte
3250,80,3,1,2,1380,203,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
4750,110,3,1,4,1020,210,Copacabana,Rio de Janeiro,sul
3300,57,1,1,2,934,191,Botafogo,Rio de Janeiro,sul
1700,41,1,0,1,541,89,Flamengo,Rio de Janeiro,sul
4357,180,3,1,2,1600,267,Copacabana,Rio de Janeiro,sul
1600,71,2,0,1,738,688,Méier,Rio de Janeiro,norte
700,65,2,1,1,400,0,Realengo,Rio de Janeiro,oeste
3400,75,2,1,2,1026,248,Jardim Botânico,Rio de Janeiro,sul
800,60,2,1,2,782,59,Méier,Rio de Janeiro,norte
8000,150,3,1,3,1990,800,Ipanema,Rio de Janeiro,sul
800,50,2,0,1,190,0,Irajá,Rio de Janeiro,norte
2500,90,2,1,2,890,126,Freguesia,Rio de Janeiro,norte
400,35,1,0,1,0,0,Pedra de Guaratiba,Rio de Janeiro,oeste
1550,61,1,0,1,0,0,Vista Alegre,Rio de Janeiro,norte
1200,25,1,0,1,536,81,Urca,Rio de Janeiro,sul
850,60,2,1,1,0,0,Guaratiba,Rio de Janeiro,oeste
5250,65,1,0,2,650,82,Centro,Rio de Janeiro,centro
700,68,2,1,1,839,58,Riachuelo,Rio de Janeiro,norte
850,47,2,1,1,369,0,Taquara,Rio de Janeiro,oeste
2500,130,4,1,6,910,950,Vargem Pequena,Rio de Janeiro,oeste
3517,142,3,2,3,598,1328,Freguesia de Jacarepaguá,Rio de Janeiro,oeste
2500,150,3,1,2,70,0,Engenho Novo,Rio de Janeiro,norte
1300,65,2,1,2,810,82,Andaraí,Rio de Janeiro,norte
1000,51,2,0,1,430,60,Taquara,Rio de Janeiro,oeste
1000,48,2,0,1,110,0,Olaria,Rio de Janeiro,norte
2300,100,2,0,4,50,134,Vila Isabel,Rio de Janeiro,norte
3500,190,3,3,4,1440,670,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
1000,49,2,1,1,470,0,Irajá,Rio de Janeiro,norte
650,50,2,1,1,152,0,Campo Grande,Rio de Janeiro,oeste
1500,65,2,1,1,620,67,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
4000,80,3,1,2,1198,259,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
2800,150,3,1,1,0,0,Vila Kosmos,Rio de Janeiro,norte
900,50,2,1,1,725,55,Méier,Rio de Janeiro,norte
1400,72,2,1,2,1420,69,Grajaú,Rio de Janeiro,norte
900,70,2,0,1,0,50,Bonsucesso,Rio de Janeiro,norte
1100,51,2,1,1,318,0,Cordovil,Rio de Janeiro,norte
1350,50,1,0,1,0,0,Tijuca, Rio de Janeiro,norte
0,75,3,3,2,0,0,Copacabana, Rio de Janeiro,sul
1300,30,1,0,1,300,0,Copacabana,Rio de Janeiro,sul
800,45,1,0,1,150,0,Brás de Pina,Rio de Janeiro,norte
690,25,1,0,1,90,0,Irajá,Rio de Janeiro,norte
800,60,2,1,1,360,0,Del Castilho,Rio de Janeiro,norte
2220,165,2,1,2,330,34,Madureira,Rio de Janeiro,norte
1700,50,1,1,1,350,80,Vargem Pequena, Rio de Janeiro,oeste
3000,60,1,1,1,1031,230,Barra da Tijuca,Rio de Janeiro,oeste
2400,300,5,3,5,2570,690,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
2500,92,3,1,1,282,0,Cocotá,Rio de Janeiro,norte
9000,92,2,1,3,2288,814,Leblon,Rio de Janeiro,sul
1200,42,2,0,1,0,0,Campo Grande,Rio de Janeiro,oeste
2600,90,3,1,1,280,54,Freguesia,Rio de Janeiro,norte
1700,80,3,0,1,0,0,Cascadura,Rio de Janeiro,norte
2900,80,2,1,3,1205,0,Barra da Tijuca, Rio de Janeiro,oeste
1800,70,2,0,1,440,0,Campo Grande,Rio de Janeiro,oeste
1400,68,2,1,1,730,44,Pechincha,Rio de Janeiro,oeste
700,33,1,1,1,0,0,Taquara,Rio de Janeiro,oeste
1360,26,1,0,1,0,0,Taquara,Rio de Janeiro,oeste
1200,65,2,1,1,300,0,Del Castilho,Rio de Janeiro,norte
2500,68,2,1,2,810,112,Freguesia,Rio de Janeiro,norte
800,50,2,0,1,120,0,Caju,Rio de Janeiro,centro
700,50,1,0,1,0,0,Taquara,Rio de Janeiro,oeste
500,38,1,0,1,0,37,Senador Vasconcelos, Rio de Janeiro,oeste
1500,100,3,1,2,0,0,Campo Grande,Rio de Janeiro,oeste
680,50,2,0,1,260,0,Campo Grande, Rio de Janeiro,oeste
750,45,1,0,1,536,0,Centro,Rio de Janeiro,centro
1100,60,2,1,2,0,55,Curicica,Rio de Janeiro,oeste
6500,120,3,2,3,1900,450,Copacabana,Rio de Janeiro,sul
1800,78,2,1,2,915,116,Tijuca,Rio de Janeiro,norte
640,65,1,0,1,0,0,Marechal Hermes,Rio de Janeiro,norte
722,60,2,1,1,210,0,Campo Grande,Rio de Janeiro,oeste
2100,81,2,1,2,1100,100,Freguesia,Rio de Janeiro,norte
1200,75,2,0,1,320,0,Coelho Neto,Rio de Janeiro,norte
1000,42,1,0,1,320,0,Grajaú,Rio de Janeiro,norte
4200,131,3,2,5,1580,355,Barra da Tijuca,Rio de Janeiro,oeste
1600,31,1,0,1,789,84,Copacabana,Rio de Janeiro,sul
1800,78,2,1,2,915,116,Tijuca,Rio de Janeiro,norte
640,65,1,0,1,0,0,Marechal Hermes,Rio de Janeiro,norte
722,60,2,1,1,210,0,Campo Grande,Rio de Janeiro,oeste
2100,81,2,1,2,1100,100,Freguesia,Rio de Janeiro,norte
3400,164,2,2,1,0,671,Pedra de Guaratiba,Rio de Janeiro,oeste
1000,42,1,0,1,320,0,Grajaú,Rio de Janeiro,norte
4100,188,2,2,2,1900,0,Copacabana,Rio de Janeiro,sul
800,51,2,1,1,310,0,Cascadura,Rio de Janeiro,norte
700,45,1,0,1,300,0,Jacarepaguá,Rio de Janeiro,oeste
1000,80,2,0,2,0,0,Campo Grande,Rio de Janeiro,oeste
1500,64,2,0,2,600,71,Grajaú,Rio de Janeiro,norte
6200,85,2,0,2,1380,340,Leblon,Rio de Janeiro,sul
4900,125,3,2,2,1400,418,Jardim Botânico,Rio de Janeiro,sul
9000,244,3,2,2,1351,723,Barra da Tijuca,Rio de Janeiro,oeste
950,28,1,0,1,50,0,Bento Ribeiro,Rio de Janeiro,norte
1000,60,2,1,1,410,60,Pechincha,Rio de Janeiro,oeste
1500,85,3,1,2,718,75,Méier,Rio de Janeiro,norte
