Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
1300,60,1,1,1,0,60,Pilares,Rio de Janeiro,norte
900,80,2,0,2,587,0,Cachambi,Rio de Janeiro,norte
1250,60,2,0,2,530,0,Rocha,Rio de Janeiro,norte
1120,60,2,1,1,270,0,Penha,Rio de Janeiro,norte
5850,100,2,1,2,1504,497,Jardim Botânico,Rio de Janeiro,sul
950,90,3,1,1,620,58,Engenho Novo,Rio de Janeiro,norte
1500,40,1,0,1,280,0,Cidade Nova,Rio de Janeiro,centro
1468,69,3,0,2,0,84,Curicica,Rio de Janeiro,oeste
5500,100,3,2,3,1300,167,Jacarepaguá,Rio de Janeiro,oeste
1538,40,1,0,2,50,42,Grajaú,Rio de Janeiro,norte
2500,38,1,0,1,350,0,Santa Teresa,Rio de Janeiro,centro
2500,100,2,1,2,0,44,Jardim Sulacap, Rio de Janeiro,oeste
1200,70,2,0,2,0,70,Realengo,Rio de Janeiro,oeste
3500,148,3,1,1,100,0,Jacarepaguá,Rio de Janeiro,oeste
1200,63,2,1,1,644,31,Méier, Rio de Janeiro,norte
2500,100,2,1,2,0,44,Jardim Sulacap, Rio de Janeiro,oeste
1200,70,2,0,2,0,70,Realengo,Rio de Janeiro,oeste
1750,54,2,1,1,325,61,Vargem Pequena, Rio de Janeiro,oeste
1180,67,2,1,1,522,63,Andaraí,Rio de Janeiro,norte
1200,52,3,0,1,0,0,Ramos,Rio de Janeiro,norte
1100,60,2,0,1,350,83,Penha,Rio de Janeiro,norte
550,50,2,1,1,390,0,Campo Grande,Rio de Janeiro,oeste
1300,60,2,1,1,160,0,Campo dos Afonsos, Rio de Janeiro,oeste
780,65,2,0,1,288,0,Senador Camará,Rio de Janeiro,oeste
1800,67,3,0,2,10,0,Engenho De Dentro,Rio de Janeiro,norte
700,42,2,1,1,250,0,Guaratiba,Rio de Janeiro,oeste
883,50,2,1,1,340,0,Pilares,Rio de Janeiro,norte
1200,51,2,1,1,480,63,Taquara,Rio de Janeiro,oeste
900,50,2,1,2,400,0,Campinho,Rio de Janeiro,norte
900,50,1,0,1,135,70,Paquetá,Rio de Janeiro,centro
1300,80,2,1,2,472,45,Pechincha,Rio de Janeiro,oeste
1400,140,3,1,1,0,0,Curicica,Rio de Janeiro,oeste
1200,42,1,1,1,600,0,Piedade,Rio de Janeiro,norte
1800,43,1,1,1,590,46,Santa Teresa,Rio de Janeiro,centro
1100,50,2,0,1,0,0,Quintino Bocaiuva,Rio de Janeiro,norte
1950,150,3,2,1,0,45,Marechal Hermes,Rio de Janeiro,norte
900,58,2,1,1,756,52,Lins de Vasconcelos,Rio de Janeiro,norte
3895,154,3,3,3,923,294,Anil, Rio de Janeiro,oeste
1300,86,2,1,1,965,158,Freguesia de Jacarepaguá, Rio de Janeiro,oeste
4800,110,3,1,2,2162,360,Lagoa,Rio de Janeiro,sul
1200,100,2,1,1,0,0,Honório Gurgel,Rio de Janeiro,norte
1600,72,2,1,3,818,118,Vila Isabel,Rio de Janeiro,norte
