Price,Size,Bedrooms,Parking_Spots,Bathrooms,Condo,IPTU,Neighborhood,City,District
2250,190,2,0,3,0,0,Cachambi,Rio de Janeiro,norte
2600,60,1,1,1,1612,318,Barra da Tijuca,Rio de Janeiro,oeste
700,46,2,1,1,360,25,Guadalupe,Rio de Janeiro,norte
3200,84,3,1,2,875,200,Barra da Tijuca,Rio de Janeiro,oeste
1200,100,2,1,1,0,0,Honório Gurgel,Rio de Janeiro,norte
1250,60,2,0,2,530,0,Rocha,Rio de Janeiro,norte
1100,58,2,1,2,510,1003,Jacarepaguá,Rio de Janeiro,oeste
1700,45,2,0,1,250,0,Grajaú,Rio de Janeiro,norte
1800,65,2,1,1,630,90,Pechincha,Rio de Janeiro,oeste
1300,65,2,0,1,400,90,Grajaú,Rio de Janeiro,norte
1300,35,1,0,1,580,10,Santa Teresa,Rio de Janeiro,centro
2990,126,3,0,1,1250,332,Flamengo,Rio de Janeiro,sul
1750,75,2,0,2,0,0,Irajá,Rio de Janeiro,norte
2800,120,3,2,4,50,0,Jacarepaguá,Rio de Janeiro,oeste
4000,138,3,1,2,1040,268,Laranjeiras,Rio de Janeiro,sul
4800,74,2,1,2,1036,0,Botafogo,Rio de Janeiro,sul
1400,64,2,0,1,550,60,Grajaú,Rio de Janeiro,norte
1300,80,3,0,2,0,0,Marechal Hermes,Rio de Janeiro,norte
1550,72,2,1,2,451,54,Rio Comprido,Rio de Janeiro,centro
4000,150,3,1,3,250,0,Vargem Pequena,Rio de Janeiro,oeste
1000,96,2,1,3,580,102,Praça Seca,Rio de Janeiro,oeste
5000,70,2,0,1,1200,202,Copacabana,Rio de Janeiro,sul
1600,47,1,0,3,700,80,Tijuca,Rio de Janeiro,norte
700,40,1,1,1,90,0,Praça Seca,Rio de Janeiro,oeste
3200,81,2,1,1,1871,237,Barra da Tijuca,Rio de Janeiro,oeste
2000,110,2,1,3,0,0,Taquara,Rio de Janeiro,oeste
1000,40,2,0,1,288,48,Madureira,Rio de Janeiro,norte
3400,100,2,2,3,900,189,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
9000,270,4,1,3,2300,600,Botafogo,Rio de Janeiro,sul
1500,96,3,1,2,600,114,Tijuca,Rio de Janeiro,norte
1000,50,2,0,2,350,0,Tomás Coelho,Rio de Janeiro,norte
1200,60,2,0,1,442,80,Vila Isabel,Rio de Janeiro,norte
3200,60,2,1,1,50,0,Vila Isabel,Rio de Janeiro,norte
1590,55,2,0,1,590,0,Anil,Rio de Janeiro,oeste
550,45,1,0,1,300,0,Quintino Bocaiuva,Rio de Janeiro,norte
800,72,2,1,2,220,0,Turiaçu,Rio de Janeiro,norte
1400,70,2,1,1,295,983,Méier,Rio de Janeiro,norte
1350,72,3,0,1,200,54,Todos os Santos,Rio de Janeiro,norte
2650,60,1,1,2,850,184,Copacabana,Rio de Janeiro,sul
1000,80,2,0,1,0,0,Campo Grande,Rio de Janeiro,oeste
1100,74,2,0,1,550,592,Todos os Santos,Rio de Janeiro,norte
2500,98,2,0,3,360,164,Vila Valqueire,Rio de Janeiro,oeste
850,40,1,0,1,0,0,Méier,Rio de Janeiro,norte
1500,80,3,0,1,280,15,Engenho Novo,Rio de Janeiro,norte
2000,48,1,0,1,580,116,Botafogo,Rio de Janeiro,sul
1500,100,3,2,3,800,0,Lins de Vasconcelos,Rio de Janeiro,norte
1200,48,2,1,1,550,62,Rocha,Rio de Janeiro,norte
706,10,2,0,1,0,0,Engenho Da Rainha,Rio de Janeiro,norte
1100,45,1,0,1,530,0,Grajaú,Rio de Janeiro,norte
1650,100,2,1,2,150,0,Curicica,Rio de Janeiro,oeste
1800,64,3,2,2,970,100,Taquara,Rio de Janeiro,oeste
1010,55,2,1,1,450,52,Madureira,Rio de Janeiro,norte
1000,62,2,1,1,380,0,Olaria,Rio de Janeiro,norte
700,50,2,0,1,140,0,Cordovil,Rio de Janeiro,norte
1100,75,2,1,1,0,0,Taquara,Rio de Janeiro,oeste
800,10,2,0,1,202,0,Turiaçu,Rio de Janeiro,norte
1000,60,2,0,2,200,0,Caju,Rio de Janeiro,centro
760,44,2,0,1,220,0,Guaratiba,Rio de Janeiro,oeste
6200,167,4,2,3,1500,277,Pechincha,Rio de Janeiro,oeste
850,47,2,1,1,369,0,Taquara,Rio de Janeiro,oeste
2500,87,3,1,2,350,0,Vila Valqueire,Rio de Janeiro,oeste
8700,171,4,2,4,2150,1032,Ipanema,Rio de Janeiro,sul
1000,72,2,0,1,200,0,Penha Circular,Rio de Janeiro,norte
1300,60,1,0,1,0,0,Engenho De Dentro,Rio de Janeiro,norte
1200,60,2,1,2,543,0,Grajaú,Rio de Janeiro,norte
1290,90,2,0,2,0,60,Encantado,Rio de Janeiro,norte
900,50,1,0,2,344,0,Catumbi,Rio de Janeiro,centro
850,48,2,0,1,205,0,Pilares,Rio de Janeiro,norte
5300,115,3,2,3,1700,280,Barra da Tijuca,Rio de Janeiro,oeste
1200,70,2,0,1,250,0,Olaria,Rio de Janeiro,norte
700,66,2,0,1,285,0,Engenho Novo,Rio de Janeiro,norte
1200,90,3,1,2,0,0,Santa Cruz,Rio de Janeiro,oeste
900,36,0,0,1,120,0,Lins de Vasconcelos,Rio de Janeiro,norte
918,47,2,0,1,383,15,Parada de Lucas,Rio de Janeiro,norte
1580,112,1,2,1,1000,202,Vila Isabel,Rio de Janeiro,norte
1100,50,2,1,1,0,0,Guadalupe,Rio de Janeiro,norte
1500,114,2,0,1,0,63,Engenho Novo,Rio de Janeiro,norte
1400,70,2,0,1,600,457,São Cristóvão,Rio de Janeiro,centro
2300,55,2,1,2,499,110,Pechincha, Rio de Janeiro,oeste
800,58,3,0,1,70,0,Cascadura,Rio de Janeiro,norte
1000,42,1,0,1,0,0,Brás de Pina,Rio de Janeiro,norte
1300,70,3,0,2,250,0,Cascadura,Rio de Janeiro,norte
850,45,2,0,1,0,0,Cascadura, Rio de Janeiro,norte
1015,48,2,1,1,250,0,Engenheiro Leal,Rio de Janeiro,norte
1115,60,2,1,1,270,0,Penha,Rio de Janeiro,norte
1000,51,1,0,1,800,80,Tijuca,Rio de Janeiro,norte
6000,130,4,0,3,1100,242,Ipanema,Rio de Janeiro,sul
680,24,1,0,1,390,0,Glória,Rio de Janeiro,sul
850,45,2,0,1,170,0,Piedade, Rio de Janeiro,norte
1250,32,1,0,1,392,81,Flamengo,Rio de Janeiro,sul
1900,79,2,1,2,900,1400,Recreio Dos Bandeirantes,Rio de Janeiro,oeste
2500,77,2,1,1,930,303,Copacabana,Rio de Janeiro,sul
800,60,2,1,1,370,0,Cascadura,Rio de Janeiro,norte
5500,93,3,2,2,1300,350,Barra da Tijuca,Rio de Janeiro,oeste
5400,160,4,2,6,1920,500,Barra da Tijuca,Rio de Janeiro,oeste
1100,60,2,1,1,774,0,Itanhangá,Rio de Janeiro,oeste
1450,56,2,0,1,115,0,Andaraí,Rio de Janeiro,norte
4000,46,1,0,1,512,67,Glória,Rio de Janeiro,sul
1250,70,2,1,1,700,55,Rocha,Rio de Janeiro,norte
800,58,2,1,1,770,0,Itanhangá,Rio de Janeiro,oeste
1500,50,2,0,1,190,0,Penha Circular, Rio de Janeiro,norte
800,28,1,0,1,400,0,Centro,Rio de Janeiro,centro
2200,100,2,1,2,783,1513,Praça Seca,Rio de Janeiro,oeste
3000,101,3,1,1,0,0,Tijuca,Rio de Janeiro,norte
850,32,1,0,1,0,0,Olaria,Rio de Janeiro,norte
4900,80,2,1,2,850,1500,Jacarepaguá,Rio de Janeiro,oeste
2750,82,3,0,2,1360,230,Flamengo,Rio de Janeiro,sul
3500,200,2,1,2,736,155,Freguesia,Rio de Janeiro,norte
1200,68,2,1,1,480,1200,Brás de Pina,Rio de Janeiro,norte
1200,55,2,0,1,354,57,Pechincha,Rio de Janeiro,oeste
850,60,2,1,1,330,0,Vaz Lobo,Rio de Janeiro,norte
1100,40,2,1,1,240,0,Oswaldo Cruz,Rio de Janeiro,norte
1550,39,1,0,1,780,80,Centro,Rio de Janeiro,centro
890,47,1,1,2,270,0,Méier,Rio de Janeiro,norte
3200,149,4,2,4,1234,378,Tijuca,Rio de Janeiro,norte
1400,90,3,0,2,0,0,Estácio,Rio de Janeiro,centro
1800,54,1,0,1,200,0,Glória,Rio de Janeiro,sul
850,60,2,0,1,250,0,Vicente de Carvalho,Rio de Janeiro,norte
1500,70,3,0,1,260,0,Pilares,Rio de Janeiro,norte
7270,100,3,1,1,1480,300,Copacabana,Rio de Janeiro,sul
1400,65,2,1,2,0,0,Anchieta,Rio de Janeiro,norte
800,49,1,0,1,450,50,Todos os Santos,Rio de Janeiro,norte
3000,46,1,1,0,0,0,Copacabana,Rio de Janeiro,sul
900,40,1,0,1,150,0,Anil,Rio de Janeiro,oeste
